ko_id,ko_abundance,ko_function,ec_id,ec_class,ec_function,map_ids,pathway_names,brite_subclass,brite_class,ec_abundance,mapped
K01990,10,ABC-2 type transport system ATP-binding protein,nan,,,,,,,,No
K07024,10,sucrose-6-phosphatase,3.1.3.24,Hydrolases,sucrose-phosphate phosphatase,map00500; map01110,Starch and sucrose metabolism; Biosynthesis of secondary metabolites,Carbohydrate metabolism,Metabolism,,No
K01992,8,ABC-2 type transport system permease protein,nan,,,,,,,,No
K02003,7,putative ABC transport system ATP-binding protein,nan,,,,,,,,No
K01223,6,6-phospho-beta-glucosidase,3.2.1.86,Hydrolases,6-phospho-beta-glucosidase,map00010; map00500,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,6.0,Yes
K16509,6,regulatory protein spx,nan,,,,,,,,No
K02004,6,putative ABC transport system permease protein,nan,,,,,,,,No
K06147,5,"ATP-binding cassette, subfamily B, bacterial",nan,,,,,,,,No
K03704,5,cold shock protein,nan,,,,,,,,No
K00016,4,L-lactate dehydrogenase,1.1.1.27,Oxidoreductases,L-lactate dehydrogenase,map00010; map00270; map00620; map00640; map01100; map01110; map01120; map04066; map04922; map05230,Glycolysis / Gluconeogenesis; Cysteine and methionine metabolism; Pyruvate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; HIF-1 signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer,Amino acid metabolism; Cancer: overview; Carbohydrate metabolism; Endocrine system; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism; Organismal Systems,4.0,Yes
K02761,4,cellobiose PTS system EIIC component,nan,,,map00500; map02060,Starch and sucrose metabolism; Phosphotransferase system (PTS),Carbohydrate metabolism; Membrane transport,Environmental Information Processing; Metabolism,,No
K02073,4,D-methionine transport system substrate-binding protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K02440,4,glycerol uptake facilitator,nan,,,,,,,,No
K02030,4,polar amino acid transport system substrate-binding protein,nan,,,,,,,,No
K02529,4,"LacI family transcriptional regulator, galactose operon repressor",nan,,,,,,,,No
K00926,3,carbamate kinase,2.7.2.2,Transferases,carbamate kinase,map00220; map00230; map00910; map01100; map01110; map01120; map01200,Arginine biosynthesis; Purine metabolism; Nitrogen metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism,Amino acid metabolism; Energy metabolism; Nucleotide metabolism,Metabolism,3.0,Yes
