ko_id,trait
K02003,Membrane integrity
K01223,Carbohydrate metabolism
K01990,Membrane integrity
K01992,Membrane integrity
K02004,Membrane integrity
K02757,Carbohydrate metabolism
K06147,Membrane integrity
K07024,Carbohydrate metabolism
K02761,Carbohydrate metabolism
K02529,Carbohydrate metabolism
K17318,Membrane integrity
K17320,Membrane integrity
K17319,Membrane integrity
K02025,Membrane integrity
K02026,Membrane integrity
K03488,Signal transduction
K02760,Carbohydrate metabolism
K02073,Membrane integrity
K15580,Membrane integrity
K03492,Signal transduction
K03100,Membrane integrity
K07720,Signal transduction
K07718,Signal transduction
K12308,Carbohydrate metabolism
K02015,Fermentation efficiency
K02027,Fermentation efficiency
K02072,Fermentation efficiency
K02028,Fermentation efficiency
K02030,Fermentation efficiency
K02013,Fermentation efficiency
K01624,Carbohydrate metabolism
K02071,Amino acid metabolism
K02042,Fermentation efficiency
K03704,Temperature resistance
K02794,Carbohydrate metabolism
K06889,Enzyme regulation
K09963,Enzyme regulation
K16787,Fermentation efficiency
K02759,Carbohydrate metabolism
K02770,Carbohydrate metabolism
K02796,Carbohydrate metabolism
K03402,Amino acid metabolism
K03475,Carbohydrate metabolism
K03657,DNA repair
K03710,Signal transduction
K03169,DNA replication
K02822,Carbohydrate metabolism
K02913,Enzyme regulation
K02795,Carbohydrate metabolism
K02016,Fermentation efficiency
K01104,Signal transduction
K00926,Amino acid metabolism
K00615,Carbohydrate metabolism
K00805,Membrane integrity
K07052,Membrane integrity
K19302,Cell wall integrity
K07407,Carbohydrate metabolism
K07304,Oxidative stress resistance
K16785,Membrane integrity
K07284,Adhesion to intestinal cells
K05349,Carbohydrate metabolism
K03734,Enzyme regulation
K08884,Signal transduction
K06950,Enzyme regulation
K06180,Enzyme regulation
K05846,Salt tolerance
K02035,Fermentation efficiency
K01952,Amino acid metabolism
K01759,Oxidative stress resistance
K01209,Carbohydrate metabolism
K00847,Carbohydrate metabolism
K01232,Carbohydrate metabolism
K00384,Oxidative stress resistance
K00244,Fermentation efficiency
K01206,Carbohydrate metabolism

